,PathNumber,ColliderName,Samples,timeDiff,Index,HMD_x,HMD_y,HMD_z,transformed_HMD_x,transformed_HMD_y
85,1,Building_154,1,0.022320032119750977,204,-248.95159912109366,2.7333967685699463,-121.23153686523438,1021.7398185190975,1547.7436871901018
86,1,NoHouse,5,0.07737493515014647,205,-248.7860412597656,2.732577085494995,-121.24778747558594,1022.4248109467665,1547.6763820594074
87,1,Building_154,18,0.31099295616149897,206,-248.0144500732422,2.728450655937195,-121.3093147277832,1025.6170805117192,1547.4213528000332
88,1,NoHouse,1,0.010912179946899414,207,-247.2410430908203,2.7254419326782227,-121.33335876464844,1028.8164266585588,1547.3209553356573
89,1,Building_154,26,0.4111840724945069,208,-246.1350326538086,2.723163604736328,-121.30069732666016,1033.390847847957,1547.454047387811
90,1,NoHouse,31,0.5113763809204102,209,-243.66195678710938,2.7069625854492188,-120.94459533691406,1043.6162752296668,1548.9196113514863
91,1,Building_154,14,0.25494384765625,210,-241.8237991333008,2.695716500282288,-120.63301849365234,1051.215744706574,1550.2023894481104
92,1,Building_236,29,0.44292783737182617,211,-240.02783203125,2.6835882663726807,-120.4231185913086,1058.6416574251916,1551.065681499867
93,1,Building_154,2,0.044144392013549805,212,-238.95174407958984,2.6692546606063843,-120.31208038330078,1063.0910508043517,1551.522164663273
94,1,Building_236,4,0.05604743957519531,213,-238.78548431396484,2.6675397157669067,-120.29413604736328,1063.7784902159142,1551.5959458274692
95,1,Building_154,9,0.1557443141937256,214,-238.3275451660156,2.666078329086304,-120.18610382080078,1065.6713613568102,1552.0409758696342
96,1,Building_152,1,0.011904239654541016,215,-237.90023803710938,2.6659977436065674,-120.06022644042969,1067.4373176989884,1552.5596794214966
97,1,NoHit,1,0.01140761375427246,216,-237.84722900390625,2.66610074043274,-120.04444885253906,1067.6563888384956,1552.6246948791177
98,1,Building_98,2,0.04463982582092285,217,-237.71370697021484,2.6665329933166504,-120.00444793701172,1068.2081622930978,1552.7895297435607
99,1,TaskBuilding_43,4,0.056047916412353516,218,-237.4724578857422,2.6671751737594604,-119.93153381347656,1069.2051924390637,1553.089995243421
100,1,Avatar,8,0.09969615936279297,219,-237.0747833251953,2.665990829467773,-119.80420303344728,1070.8485632936538,1553.6147207565687
101,1,Building_173,1,0.010912418365478516,220,-236.78521728515625,2.664764165878296,-119.7068099975586,1072.045127848932,1554.0161229247428
102,1,Building_175,1,0.010911941528320312,221,-236.73199462890625,2.6643970012664795,-119.68873596191406,1072.265055938883,1554.0906122038132
103,1,NoHouse,1,0.011407852172851562,222,-236.62838745117188,2.66369366645813,-119.65293884277344,1072.69317759641,1554.2381470612895
104,1,Building_175,1,0.010912179946899414,223,-236.5232696533203,2.6628353595733643,-119.61660766601562,1073.1275407526234,1554.3878828743514
105,1,NoHouse,10,0.15623950958251953,224,-236.13370513916016,2.659613132476806,-119.47865676879884,1074.7372751938972,1554.9564332900336
106,1,Building_175,5,0.11011195182800293,225,-235.59901428222656,2.6601834297180176,-119.25554656982422,1076.9462574908393,1555.8761454160153
107,1,NoHouse,2,0.033728599548339844,226,-235.29608154296875,2.661479353904724,-119.12203216552734,1078.1977106623256,1556.426537915489
108,1,Building_175,3,0.044144392013549805,227,-235.0926818847656,2.66219425201416,-119.0329132080078,1079.0379834624168,1556.793914214326
109,1,NoHouse,15,0.2559351921081543,228,-234.4219665527344,2.6634771823883057,-118.75816345214844,1081.808987853384,1557.9264446578077
110,1,Building_166,1,0.010912418365478516,229,-233.71929931640625,2.662337303161621,-118.5863265991211,1084.7131690196936,1558.6343073559715
111,1,NoHouse,17,0.2336153984069824,230,-232.8978729248047,2.6586358547210693,-118.4401397705078,1088.1087205416784,1559.2361447183735
