ColliderName,Samples,timeDiff,Index,HMD_x,HMD_y,HMD_z,transformed_HMD_x,transformed_HMD_y
HighSilo-TaskBuilding_49,35,0.5555193424224854,7410,-229.1959991455078,3.7161765098571777,187.5742034912109,1100.3009704366677,2823.8099581768265
HighSilo-TaskBuilding_49,41,0.6889431476593018,7412,-231.5023956298828,3.6502389907836914,190.4330902099609,1090.718427856893,2835.668725558641
HighSilo-TaskBuilding_49,172,2.632267951965332,7427,-243.13265991210938,3.400329113006592,200.34459686279297,1042.4353416379918,2876.8291187649065
Building_198,61,0.9667010307312012,8026,-303.2088623046875,4.624528884887695,57.72074890136719,795.1070106097359,2287.2194302065527
Building_198,226,3.5106830596923833,8084,-278.64166259765625,4.68079948425293,39.01881790161133,897.0977079291732,2209.7244472151333
Building_198,43,0.6299183368682861,8161,-256.94293212890625,4.62436580657959,19.92695617675781,987.1602879893462,2130.6780822782166
Building_171,33,0.4999675750732422,8618,-165.3568572998047,4.414430141448975,91.33182525634766,1365.444507334887,2425.1467277293987
Building_171,23,0.3665437698364258,8755,-149.2421112060547,4.286106586456299,85.10802459716797,1432.1395452440088,2399.2993544107762
Building_171,55,0.8769254684448242,8763,-152.7260284423828,4.277074337005615,79.06437683105469,1417.7851165007505,2374.353247611982
Building_171,56,0.9111509323120116,8769,-151.9800262451172,4.138751983642578,73.65301513671875,1420.9157907586998,2351.988476875451
Building_171,23,0.3888640403747559,8798,-158.2225799560547,4.145166397094728,67.71431732177734,1395.1542708654063,2327.4973138585874
Building_171,70,1.1442694664001465,8806,-159.87393188476562,4.144520998001099,65.64944076538086,1388.3436946143026,2318.977878912553
Building_214,28,0.4111843109130859,8856,-173.36160278320312,4.1822428703308105,53.75117111206055,1332.672061518459,2269.913667385187
Building_171,90,1.444347620010376,8880,-177.08595275878906,4.180224418640137,44.777809143066406,1317.3501943688634,2232.865999525049
TaskBuilding_35,49,0.7018406391143799,9076,-59.11381530761719,2.4425933361053467,34.769760131835945,1804.8869834225773,2190.783986249281
TaskBuilding_35,27,0.4330089092254639,9094,-59.17604064941406,2.448975086212158,34.73876190185547,1804.6303000945288,2190.6564379999654
Building_166,34,0.5555200576782227,9104,-59.23980712890625,2.44863510131836,34.69180679321289,1804.367357732631,2190.463041366487
TaskBuilding_35,30,0.5217928886413574,9155,-59.20547485351562,2.4519991874694824,34.73891830444336,1804.5087861519241,2190.6572675107436
TaskBuilding_35,78,1.288609743118286,9159,-59.22084045410156,2.4551527500152592,34.74503326416016,1804.4453128599603,2190.682601506356
TaskBuilding_35,100,1.6551530361175537,9173,-59.99171447753906,2.5020506381988525,35.560577392578125,1801.2576045141495,2194.053405358796
TaskBuilding_35,49,0.7653276920318604,9423,-42.65840148925781,2.6322131156921387,60.99579620361328,1872.6509191549521,2298.924150716669
Building_176,31,0.4791359901428223,9996,-96.54945373535156,3.7817463874816895,119.75314331054688,1649.6794651544028,2542.01891558365
Building_176,72,1.0892159938812256,10003,-84.41064453125,3.5682649612426762,128.15652465820312,1699.7784646382909,2576.6333782482707
Building_176,84,1.3783845901489258,10009,-81.66432189941406,3.513046741485596,130.4066390991211,1711.1099585358295,2585.9059704819165
Building_176,58,0.9399204254150392,10164,-30.01838684082031,2.3702117204666138,155.58167266845703,1924.2690497398596,2689.432056845647
Building_176,33,0.4801285266876221,10168,-28.13929748535156,2.34053373336792,156.6533660888672,1932.0217457287565,2693.8412067080844
Building_176,72,1.0872311592102049,10242,-23.786880493164066,2.213738441467285,160.3992919921875,1949.9711183273387,2709.274298781301
Building_97,34,0.4687213897705078,12091,203.9030303955078,1.2548956871032717,74.32705688476562,2888.5656299005236,2352.1231870876477
Building_97,22,0.2797441482543945,12103,197.38905334472656,1.2876629829406738,73.96578216552734,2861.771440919681,2350.6827030684626
Building_97,35,0.549072265625,12105,197.26144409179688,1.2844524383544922,73.99908447265625,2861.2464790789936,2350.8208934694053
TaskBuilding_27,24,0.3556327819824219,12763,98.21910095214844,1.3953877687454224,126.64915466308594,2453.3689518383744,2568.7535375972675
TaskBuilding_27,47,0.8665108680725098,12797,81.33711242675781,1.2315511703491209,128.50349426269528,2383.7879131714367,2576.558848878557
TaskBuilding_27,27,0.4111850261688232,12799,80.18585205078125,1.1754112243652344,127.91742706298828,2379.0446459832315,2574.150578828141
TaskBuilding_27,350,5.786337614059447,12804,77.78717041015625,1.3387861251831057,124.21859741210938,2369.170451057532,2558.907126226446
Building_97,27,0.3660480976104736,12832,75.71040344238281,1.3387880325317385,118.91022491455078,2360.628932053651,2537.0185769681157
Building_97,30,0.4895515441894531,12863,78.39772033691406,1.3629529476165771,104.78526306152344,2371.7549879453277,2478.7096513663237
Building_97,51,0.8307995796203613,12865,80.2322998046875,1.373389720916748,101.2672882080078,2379.3281730663857,2464.1792606577756
