ColliderName,Samples,Index
NoHouse,2,745
Building_176,12,746
TaskBuilding_40,32,747
Building_176,138,748
NoHouse,4,749
Building_176,4,750
NoHouse,4,751
Building_176,8,752
NoHouse,22,753
TaskBuilding_40,5,754
NoHouse,2,755
TaskBuilding_40,3,756
NoHouse,7,757
TaskBuilding_40,51,758
Building_176,2,759
NoHouse,1,760
Building_170,1,761
NoHouse,1,762
Building_176,3,763
Building_92,5,764
Building_176,4,765
Building_92,1,766
Building_176,14,767
Building_92,2,768
Building_176,118,769
NoHit,2,770
NoHouse,156,771
TaskBuilding_6,8,778
Building_183,2,779
TaskBuilding_6,8,780
Building_183,2,781
TaskBuilding_6,140,782
NoHouse,16,783
Building_183,3,784
TaskBuilding_46,143,785
NoHouse,6,786
TaskBuilding_46,3,787
NoHouse,161,788
TaskBuilding_46,401,789
NoHouse,2,790
TaskBuilding_46,2,791
NoHouse,11,792
TaskBuilding_46,14,793
NoHouse,11,794
TaskBuilding_46,76,795
Garage_185,2,796
NoHouse,8,797
Garage_185,2,798
NoHouse,2,799
Garage_185,2,800
NoHouse,35,801
Garage_185,9,802
NoHouse,47,803
TaskBuilding_46,331,804
Building_180,2,805
TaskBuilding_46,45,806
Building_180,4,807
Building_183,13,808
NoHouse,5,809
Building_183,3,810
NoHouse,2,811
Building_183,2,812
NoHouse,1,813
Building_183,7,814
NoHouse,4,815
Building_183,2,816
NoHouse,90,817
Building_176,2,822
NoHouse,35,823
Building_176,15,824
NoHouse,2,825
Building_176,16,826
Building_163,3,827
Building_170,32,828
TaskBuilding_41,4,829
Building_171,39,830
TaskBuilding_41,150,831
Building_170,2,832
NoHouse,18,833
Building_176,23,834
NoHouse,2,835
Building_92,3,836
Building_176,7,837
NoHouse,2,838
Building_170,6,839
Building_163,2,840
Building_170,15,841
Building_163,17,842
Building_170,6,843
TaskBuilding_41,55,844
Building_170,68,845
TaskBuilding_41,596,846
Building_166,2,847
NoHouse,8,848
Building_166,4,849
NoHouse,8,850
Building_166,4,851
NoHouse,6,852
Building_144,2,853
Building_152,8,854
NoHouse,38,855
Building_166,47,856
TaskBuilding_41,36,857
Building_170,24,858
Building_163,2,859
Building_160,9,860
Building_163,1,861
Building_160,4,862
Building_163,2,863
Building_160,10,864
Building_92,2,865
Building_176,79,866
TaskBuilding_40,2,867
TaskBuilding_38,2,868
NoHouse,36,869
TaskBuilding_38,3,870
NoHouse,5,871
TaskBuilding_38,2,872
TaskBuilding_40,45,873
Building_176,3,874
TaskBuilding_40,2,875
Building_176,71,876
TaskBuilding_40,2,877
NoHouse,10,878
Building_177,8,879
NoHouse,6,880
Building_177,1,881
NoHouse,2,882
Building_177,1,883
NoHouse,6,884
House_49,9,885
Building_177,2,886
Building_178,6,887
NoHouse,2,888
Building_178,15,889
NoHouse,4,890
TaskBuilding_6,6,891
NoHouse,22,892
Building_178,4,893
NoHouse,47,894
TaskBuilding_40,36,895
Building_176,2,896
TaskBuilding_40,2,897
NoHouse,2,898
Building_176,47,899
TaskBuilding_40,148,900
Building_176,2,901
Building_92,11,902
NoHouse,6,903
Building_92,2,904
NoHouse,3,905
Building_92,2,906
NoHouse,18,907
Building_92,2,908
NoHouse,7,909
Building_92,1,910
NoHouse,6,911
Building_92,16,912
Building_160,2,913
Building_163,106,914
NoHit,2,915
TaskBuilding_35,36,916
Building_164,4,917
Building_165,4,918
Building_164,2,919
Building_165,2,920
Building_164,13,921
Building_165,18,922
Building_164,84,923
Building_165,2,924
Building_170,28,925
Building_165,1,926
Building_164,3,927
TaskBuilding_35,41,928
Building_163,2,929
TaskBuilding_35,2,930
Building_163,12,931
TaskBuilding_35,14,932
Building_163,2,933
NoHouse,10,934
Building_176,22,935
TaskBuilding_40,10,936
Building_176,2,937
NoHouse,2,938
TaskBuilding_40,48,939
NoHouse,6,940
TaskBuilding_40,2,941
NoHouse,41,942
TaskBuilding_40,4,943
NoHouse,32,944
House_49,41,945
NoHouse,64,946
TaskBuilding_40,101,947
NoHouse,2,948
Building_176,2,949
NoHouse,4,950
Building_176,15,951
NoHouse,87,952
TaskBuilding_40,2,953
NoHouse,2,954
TaskBuilding_40,6,955
NoHouse,2,956
TaskBuilding_40,10,957
NoHouse,15,958
House_49,4,959
NoHouse,2,960
House_49,6,961
NoHouse,1,962
House_49,64,963
NoHouse,23,964
TaskBuilding_40,2,965
NoHouse,2,966
TaskBuilding_40,413,967
NoHouse,35,968
Building_176,26,969
NoHouse,6,970
Building_176,2,971
NoHouse,6,972
Building_176,2,973
NoHouse,2,974
Building_176,5,975
NoHouse,2,976
Building_176,43,977
Building_92,2,978
NoHouse,16,979
TaskBuilding_19,2,980
NoHouse,3,981
Building_92,2,982
NoHouse,5,983
Building_92,31,984
Building_159,2,985
Building_160,39,986
Building_159,3,987
Building_102,3,988
NoHouse,17,989
Building_92,34,990
NoHouse,2,991
Building_160,4,992
NoHouse,33,993
Building_160,2,994
NoHouse,2,995
Building_158,2,996
Building_161,116,997
Building_162,11,998
NoHouse,14,999
Building_162,21,1000
NoHouse,15,1001
Building_160,33,1002
NoHouse,21,1003
Building_159,2,1004
Building_160,13,1005
Building_102,2,1006
Building_92,4,1007
Building_176,104,1008
TaskBuilding_38,2,1009
NoHouse,12,1010
TaskBuilding_38,2,1011
NoHouse,16,1012
TaskBuilding_38,3,1013
NoHouse,1,1014
TaskBuilding_38,3,1015
NoHouse,4,1016
TaskBuilding_38,9,1017
NoHouse,3,1018
TaskBuilding_38,31,1019
Building_176,8,1020
NoHouse,25,1021
Building_176,2,1022
NoHouse,3,1023
Building_176,137,1024
NoHouse,13,1025
Building_92,2,1026
NoHouse,5,1027
Building_92,2,1028
NoHouse,7,1029
Building_92,45,1030
NoHouse,2,1031
Building_102,2,1032
Building_159,35,1033
Building_160,55,1034
Building_159,31,1035
TaskBuilding_34,2,1036
Building_159,7,1037
TaskBuilding_34,2,1038
Building_159,2,1039
TaskBuilding_34,1,1040
Building_159,17,1041
NoHouse,104,1042
Building_92,1,1043
NoHouse,31,1044
Building_102,2,1047
TaskBuilding_34,1,1048
Building_159,35,1049
TaskBuilding_34,33,1050
Building_159,14,1051
TaskBuilding_34,2,1052
Building_159,6,1053
TaskBuilding_34,3,1054
Building_159,1,1055
TaskBuilding_34,2,1056
Building_159,51,1057
Building_158,16,1058
Building_159,4,1059
Building_158,14,1060
NoHouse,1,1061
Building_158,10,1062
NoHouse,1,1063
Building_158,11,1064
Building_149,3,1065
TaskBuilding_5,1,1066
Building_149,1,1067
NoHouse,2,1068
