ColliderName,Samples,timeDiff,Index,HMD_x,HMD_y,HMD_z
Building_214,1,0.02182459831237793,39200,-96.58079528808594,0.046580910682678216,-127.23403930664062
NoHouse,2,0.03372812271118164,39201,-96.58226013183594,0.04614681005477905,-127.23680114746094
Building_214,1,0.021823883056640625,39202,-96.58341979980469,0.04575741291046143,-127.23919677734376
NoHouse,12,0.2559359073638916,39203,-96.58737182617188,0.04464519023895264,-127.24894714355469
Building_210,1,0.010911703109741211,39204,-96.5915985107422,0.043005585670471184,-127.2666015625
NoHouse,3,0.0441431999206543,39205,-96.59245300292969,0.04241907596588135,-127.27249145507812
Building_234,1,0.011408805847167969,39206,-96.5927276611328,0.04200661182403565,-127.27694702148438
NoHouse,10,0.18847990036010742,39207,-96.59036254882812,0.042424559593200684,-127.30117797851562
TaskBuilding_45,1,0.01091146469116211,39208,-96.58604431152344,0.04269373416900635,-127.3165283203125
NoHouse,19,0.3010716438293457,39209,-96.57624816894531,0.042675137519836426,-127.34255981445312
Building_232,35,0.5788326263427734,39210,-96.7124481201172,0.038422465324401855,-127.49252319335938
Building_225,1,0.022319555282592773,39211,-96.95713806152344,0.0288316011428833,-127.75711059570312
NoHouse,7,0.09969615936279297,39212,-97.03123474121094,0.02649664878845215,-127.85067749023438
Building_230,15,0.23411130905151367,39213,-97.35353088378906,0.018240928649902344,-128.32131958007812
Building_229,1,0.011407136917114258,39214,-97.6167449951172,0.010418057441711426,-128.81753540039062
NoHouse,1,0.021825075149536133,39215,-97.63371276855469,0.008200526237487793,-128.85369873046878
Building_228,1,0.010911703109741211,39216,-97.66682434082031,0.0041877031326293945,-128.9256591796875
NoHouse,2,0.022816181182861328,39217,-97.69149780273438,0.0031678080558776855,-128.980224609375
Building_228,9,0.1324319839477539,39218,-97.84288024902344,-0.002764701843261719,-129.32928466796878
NoHouse,4,0.05555129051208496,39219,-97.96665954589844,-0.008048534393310547,-129.6290283203125
Building_229,13,0.23361635208129883,39220,-97.96229553222656,-0.008617639541625977,-129.6282958984375
Building_228,2,0.022319555282592773,39221,-97.96102905273438,-0.008764207363128662,-129.62725830078125
Building_139,40,0.5961923599243164,39222,-98.04122924804688,-0.011417150497436523,-129.80783081054688
NoHouse,14,0.18996834754943848,39223,-98.04981994628906,-0.011864423751831056,-129.81488037109378
Building_232,24,0.3581111431121826,39226,-98.26968383789062,-0.020657658576965332,-130.15206909179688
NoHouse,108,1.6407675743103027,39227,-100.53831481933594,-0.13243412971496582,-132.35060119628906
Building_222,1,0.013888120651245117,39228,-101.5188446044922,-0.1214296817779541,-133.01498413085938
Garage_235,2,0.028270483016967773,39229,-101.54222106933594,-0.12103432416915894,-133.03018188476562
Building_222,1,0.01339268684387207,39230,-101.5670928955078,-0.12053561210632326,-133.04635620117188
Garage_235,1,0.014384269714355469,39231,-101.57756042480469,-0.1202242374420166,-133.0533447265625
Building_222,15,0.2088150978088379,39232,-101.68489074707031,-0.11772215366363525,-133.12405395507812
TaskBuilding_7,2,0.02678394317626953,39233,-101.8624267578125,-0.1151883602142334,-133.24188232421872
Building_220,15,0.20931148529052734,39234,-101.95936584472656,-0.11434614658355712,-133.3064422607422
NoHit,8,0.11358404159545898,39237,-102.54408264160156,-0.10667115449905396,-133.7014617919922
crane_2,6,0.08779144287109375,39238,-102.7265167236328,-0.10560023784637453,-133.83224487304688
NoHouse,9,0.1274721622467041,39241,-103.15895080566406,-0.10404491424560547,-134.14859008789062
TaskBuilding_45,1,0.015376091003417969,39242,-103.35807800292969,-0.10425865650177002,-134.294921875
NoHouse,23,0.4265599250793457,39243,-103.8473663330078,-0.11472940444946288,-134.6549072265625
TaskBuilding_45,35,0.5917277336120605,39244,-105.1287078857422,-0.12757718563079834,-135.59442138671878
NoHouse,78,1.289102554321289,39245,-107.58564758300781,0.04995757341384888,-137.6483154296875
Garage_235,21,0.3442246913909912,39246,-109.86140441894531,0.049035191535949714,-139.57330322265622
TaskBuilding_7,10,0.15673518180847168,39247,-110.51345825195312,0.05282360315322876,-140.1337127685547
Garage_235,2,0.031247854232788086,39248,-110.73503112792969,0.05542343854904175,-140.3277130126953
TaskBuilding_7,3,0.04811239242553711,39249,-110.8134307861328,0.05650734901428223,-140.39633178710938
Garage_235,3,0.04662442207336426,39250,-110.93983459472656,0.058140993118286126,-140.50762939453122
TaskBuilding_7,23,0.3824148178100586,39251,-111.5695343017578,0.06799185276031494,-141.06411743164062
Garage_235,2,0.03391885757446289,39252,-112.18008422851562,0.07830095291137695,-141.61642456054688
Building_222,2,0.035521745681762695,39253,-112.24227905273438,0.07813823223114014,-141.67347717285156
NoHouse,8,0.1363999843597412,39254,-112.47454833984375,0.07856351137161255,-141.889892578125
TaskBuilding_45,48,0.807488203048706,39255,-113.64109802246094,0.07974916696548462,-143.07044982910156
NoHouse,36,0.5872619152069092,39256,-115.06105041503906,0.08248984813690186,-144.8064422607422
TaskBuilding_45,41,0.6428184509277344,39257,-116.7643585205078,0.09399008750915527,-146.81204223632812
NoHouse,65,1.021756887435913,39258,-118.5377197265625,0.0941879153251648,-148.8273468017578
TaskBuilding_45,2,0.03223991394042969,39261,-119.98835754394531,0.10022372007369995,-150.4627685546875
NoHouse,4,0.06497597694396973,39262,-120.0950927734375,0.1021873950958252,-150.5835418701172
TaskBuilding_45,4,0.06448173522949219,39263,-120.22862243652344,0.10487872362136841,-150.73458862304688
NoHouse,2,0.032735347747802734,39264,-120.3487548828125,0.10728681087493896,-150.8696746826172
TaskBuilding_45,2,0.03323101997375488,39265,-120.41603088378906,0.10855692625045776,-150.94464111328125
NoHouse,1,0.017360687255859375,39266,-120.48332214355469,0.10974204540252687,-151.0196533203125
