ColliderName,Samples,Time,Index,timeDiff
NoHouse,10,,586,0.11110377311706543
Building_188,3,,587,0.03323197364807129
NoHouse,1,,588,0.010912418365478516
Building_188,7,,589,0.12201571464538574
NoHouse,2,,590,0.03323173522949219
Building_188,7,,591,0.14979195594787598
NoHouse,4,,592,0.08183884620666504
Building_188,1,,593,0.02232050895690918
NoHouse,2,,594,0.022320270538330078
Building_188,1,,595,0.010912179946899414
Building_187,2,,596,0.022319793701171875
NoHouse,15,,597,0.2227034568786621
Building_198,2,,598,0.02232050895690918
NoHouse,9,,599,0.15624022483825684
Building_198,1,,600,0.011407136917114258
NoHouse,1,,601,0.022320032119750977
Building_198,5,,602,0.10019183158874512
Building_212,70,,603,1.1442701816558838
Building_213,12,,604,0.22220802307128906
Building_210,14,,605,0.21129560470581055
NoHouse,9,,606,0.15524744987487793
Building_211,1,,607,0.022320032119750977
NoHouse,1,,608,0.011408329010009766
Building_211,2,,609,0.022319793701171875
TaskBuilding_8,1,,610,0.022319793701171875
Building_211,18,,611,0.3109920024871826
Castle-TaskBuilding_56,1,,612,0.022319793701171875
crane_2,1,,613,0.021823406219482422
NoHouse,1,,614,0.011408329010009766
Building_214,10,,615,0.18847966194152832
NoHouse,7,,616,0.11160016059875488
NoHit,0.13292741775512695,,617,
Building_210,1,,618,0.011408805847167969
NoHouse,12,,619,0.17707085609436035
Building_212,169,,620,2.665004014968872
NoHouse,14,,621,0.26635217666625977
Building_212,1,,622,0.010911703109741211
NoHouse,3,,623,0.03323197364807129
Building_212,2,,624,0.022319793701171875
NoHouse,1,,625,0.011408090591430664
Building_212,5,,626,0.055552005767822266
NoHouse,1,,627,0.021824359893798828
Building_212,10,,628,0.13391923904418945
NoHouse,1,,629,0.021824121475219727
Building_212,3,,630,0.055551767349243164
NoHouse,1,,631,0.02232050895690918
Building_212,2,,632,0.03323173522949219
NoHouse,1,,633,0.011407613754272461
Building_212,10,,634,0.1775679588317871
NoHouse,1,,635,0.022320270538330078
Building_212,31,,636,0.5322067737579346
NoHouse,10,,637,0.15623974800109863
Building_213,14,,638,0.20038390159606934
Building_212,2,,639,0.0441439151763916
NoHouse,9,,640,0.1334238052368164
Building_212,221,,641,3.5206029415130615
NoHouse,42,,642,0.6438076496124268
Building_213,40,,643,0.5783343315124512
Building_210,2,,644,0.022320270538330078
TaskBuilding_8,1,,645,0.010911703109741211
Building_211,1,,646,0.011408090591430664
