hitObjectColliderName,ordinalOfHit,hitObjectColliderBoundsCenter.x,hitObjectColliderBoundsCenter.y,hitObjectColliderBoundsCenter.z,participantId,session_type
finger_index_2_r,2,-54.938167572021484,-0.24321699142456055,-80.0954818725586,1054,dyadic_leader
PhoneCollider,1,-54.9188232421875,-0.2679358720779419,-80.04714965820312,1054,dyadic_leader
finger_index_2_r,2,-54.938358306884766,-0.24266839027404785,-80.09574127197266,1054,dyadic_leader
PhoneCollider,1,-54.919219970703125,-0.2670856714248657,-80.0477294921875,1054,dyadic_leader
finger_index_2_r,2,-54.93881607055664,-0.2419690638780594,-80.09632110595703,1054,dyadic_leader
PhoneCollider,1,-54.91943359375,-0.2668670415878296,-80.04811096191406,1054,dyadic_leader
finger_index_2_r,2,-54.93910598754883,-0.24170386791229248,-80.09664916992188,1054,dyadic_leader
PhoneCollider,1,-54.91973876953125,-0.2666499614715576,-80.04847717285156,1054,dyadic_leader
finger_index_2_r,2,-54.9394645690918,-0.241468608379364,-80.09691619873047,1054,dyadic_leader
PhoneCollider,1,-54.920074462890625,-0.2664670944213867,-80.04875183105469,1054,dyadic_leader
finger_index_2_r,2,-54.939552307128906,-0.24137932062149048,-80.09720611572266,1054,dyadic_leader
PhoneCollider,1,-54.92010498046875,-0.26641666889190674,-80.04908752441406,1054,dyadic_leader
finger_index_2_r,2,-54.93978500366211,-0.24114009737968445,-80.09750366210938,1054,dyadic_leader
PhoneCollider,1,-54.920654296875,-0.2661372423171997,-80.04954528808594,1054,dyadic_leader
PhoneCollider,1,-54.920867919921875,-0.26598620414733887,-80.04978942871094,1054,dyadic_leader
finger_index_2_r,2,-54.94050979614258,-0.24076147377490997,-80.09803009033203,1054,dyadic_leader
PhoneCollider,1,-54.9212646484375,-0.2658867835998535,-80.05007934570312,1054,dyadic_leader
finger_index_2_r,2,-54.94083786010742,-0.2406342327594757,-80.09822845458984,1054,dyadic_leader
PhoneCollider,1,-54.9215087890625,-0.2658712863922119,-80.05020141601562,1054,dyadic_leader
finger_index_2_r,2,-54.94074630737305,-0.24056662619113922,-80.09827423095703,1054,dyadic_leader
PhoneCollider,1,-54.92144775390625,-0.2658795118331909,-80.05024719238281,1054,dyadic_leader
finger_index_2_r,2,-54.940921783447266,-0.24059472978115082,-80.09840393066406,1054,dyadic_leader
PhoneCollider,1,-54.92181396484375,-0.26599597930908203,-80.05049133300781,1054,dyadic_leader
finger_index_2_r,2,-54.941036224365234,-0.2405564785003662,-80.0986328125,1054,dyadic_leader
PhoneCollider,1,-54.92193603515625,-0.26602697372436523,-80.05075073242188,1054,dyadic_leader
finger_index_2_r,2,-54.941001892089844,-0.24062123894691467,-80.09884643554688,1054,dyadic_leader
PhoneCollider,1,-54.922119140625,-0.2661094665527344,-80.05073547363281,1054,dyadic_leader
finger_index_2_r,2,-54.94122314453125,-0.24074482917785645,-80.09884643554688,1054,dyadic_leader
PhoneCollider,1,-54.92218017578125,-0.26617181301116943,-80.05079650878906,1054,dyadic_leader
finger_index_2_r,2,-54.94121170043945,-0.24089473485946655,-80.09892272949219,1054,dyadic_leader
PhoneCollider,1,-54.922393798828125,-0.26656556129455566,-80.0509033203125,1054,dyadic_leader
finger_index_2_r,2,-54.941314697265625,-0.24135775864124298,-80.09909057617188,1054,dyadic_leader
CollisionObject0,2,-81.78275299072266,2.3366355895996094,-124.70181274414062,1054,dyadic_leader
CollisionObject2,1,-81.82129669189453,10.920047760009766,-124.62510681152344,1054,dyadic_leader
scaffold_base_02_LOD0,1,-117.97293090820312,9.872288703918457,-154.6707763671875,1054,dyadic_leader
scaffold_topboard_01_LOD0,2,-118.15035247802734,10.949353218078613,-154.86572265625,1054,dyadic_leader
scaffold_base_02_LOD0,1,-113.90180206298828,9.872288703918457,-150.19410705566406,1054,dyadic_leader
scaffold_base_02_LOD0,1,-113.90180206298828,7.237435340881348,-150.19410705566406,1054,dyadic_leader
scaffold_base_02_LOD0,2,-128.3944854736328,9.362289428710938,-172.51466369628906,1054,dyadic_leader
scaffold_topboard_01_LOD0,2,-118.92774200439453,7.804500102996826,-158.81813049316406,1054,dyadic_leader
scaffold_base_02_LOD0,2,-118.75386810302734,6.72743558883667,-158.6199951171875,1054,dyadic_leader
scaffold_base_02_LOD0,2,-122.76467895507812,6.72743558883667,-163.1754913330078,1054,dyadic_leader
scaffold_topboard_01_LOD0,2,-126.94856262207031,7.804500102996826,-167.94363403320312,1054,dyadic_leader
Broadleaf_Mobile (218),2,-81.66289520263672,-2.2300000190734863,-124.6959228515625,1054,dyadic_leader
SmallWall_22,1,-61.41667938232422,-1.328617811203003,-98.8656234741211,1054,dyadic_leader
Female_063_NoHands,1,-54.40612030029297,-0.555439829826355,-80.86483001708984,1054,dyadic_leader
Female_063_NoHands,1,-54.40635681152344,-0.5554401874542236,-80.86434173583984,1054,dyadic_leader
Female_063_NoHands,1,-54.40682601928711,-0.5554382801055908,-80.86337280273438,1054,dyadic_leader
Building_138,2,-38.369651794433594,1.931509017944336,-167.06817626953125,1054,dyadic_leader
Female_063_NoHands,1,-54.40750503540039,-0.5554380416870117,-80.86283874511719,1054,dyadic_leader
Female_063_NoHands,1,-54.40818405151367,-0.5554376840591431,-80.8623046875,1054,dyadic_leader
Female_063_NoHands,1,-54.40852355957031,-0.5554370880126953,-80.8620376586914,1054,dyadic_leader
Female_063_NoHands,1,-54.409202575683594,-0.5554369688034058,-80.86149597167969,1054,dyadic_leader
Female_063_NoHands,1,-54.409881591796875,-0.5554369688034058,-80.86095428466797,1054,dyadic_leader
Female_063_NoHands,1,-54.410240173339844,-0.555436372756958,-80.86042022705078,1054,dyadic_leader
Female_063_NoHands,1,-54.41041946411133,-0.5554361343383789,-80.86015319824219,1054,dyadic_leader
Female_063_NoHands,1,-54.41059875488281,-0.5554360151290894,-80.8598861694336,1054,dyadic_leader
Female_063_NoHands,1,-54.4107780456543,-0.5554358959197998,-80.859619140625,1054,dyadic_leader
Female_063_NoHands,1,-54.41095733642578,-0.5554355382919312,-80.8593521118164,1054,dyadic_leader
Female_063_NoHands,1,-54.411136627197266,-0.5554351806640625,-80.85908508300781,1054,dyadic_leader
Female_063_NoHands,1,-54.411319732666016,-0.5554349422454834,-80.85882568359375,1054,dyadic_leader
Female_063_NoHands,1,-54.41142272949219,-0.5554344654083252,-80.85839080810547,1054,dyadic_leader
Female_063_NoHands,1,-54.411346435546875,-0.5554348230361938,-80.85822296142578,1054,dyadic_leader
Female_063_NoHands,1,-54.41127014160156,-0.5554347038269043,-80.8580551147461,1054,dyadic_leader
Female_063_NoHands,1,-54.41119384765625,-0.5554348230361938,-80.8578872680664,1054,dyadic_leader
Female_063_NoHands,1,-54.41111755371094,-0.5554348230361938,-80.85771942138672,1054,dyadic_leader
Female_063_NoHands,1,-54.411041259765625,-0.5554358959197998,-80.8575439453125,1054,dyadic_leader
Female_063_NoHands,1,-54.410888671875,-0.555435299873352,-80.8572006225586,1054,dyadic_leader
Female_063_NoHands,1,-54.41081237792969,-0.5554356575012207,-80.8570327758789,1054,dyadic_leader
Female_063_NoHands,1,-54.410247802734375,-0.5554356575012207,-80.85694122314453,1054,dyadic_leader
Female_063_NoHands,1,-54.40968322753906,-0.5554354190826416,-80.85684204101562,1054,dyadic_leader
Female_063_NoHands,1,-54.409400939941406,-0.555435299873352,-80.85679626464844,1054,dyadic_leader
Female_063_NoHands,1,-54.408836364746094,-0.5554357767105103,-80.85669708251953,1054,dyadic_leader
