hitObjectColliderName,ordinalOfHit,hitObjectColliderBoundsCenter.x,hitObjectColliderBoundsCenter.y,hitObjectColliderBoundsCenter.z,participantId,session_type
Wall_2,1,79.91527557373047,0.3224349319934845,38.24586868286133,1008,single
Lamppost_v1 (25),2,122.20951080322266,4.5122528076171875,57.00780487060547,1008,single
CollisionObject1,2,241.3167724609375,4.895812034606934,145.82293701171875,1008,single
Graffity_26,2,89.26557922363281,3.429668426513672,36.308536529541016,1008,single
scaffold_base_02_LOD0,2,104.7027359008789,6.0482892990112305,46.517112731933594,1008,single
scaffold_base_02_LOD0,1,109.3247299194336,6.047435760498047,50.476112365722656,1008,single
CollisionObject2,1,241.27474975585938,11.347086906433105,145.71873474121094,1008,single
Building_109,1,79.58999633789062,5.419436454772949,-6.719999313354492,1008,single
CollisionObject1,2,95.2877426147461,3.5487723350524902,-7.930983543395996,1008,single
SmallWall_21,1,57.81550598144531,-1.2173917293548584,-31.452709197998047,1008,single
SmallWall_12,1,85.66447448730469,-0.2526737451553345,4.884123802185059,1008,single
Building_71,2,310.7568664550781,5.20828914642334,130.3065948486328,1008,single
CollisionObject1,2,192.48422241210938,5.828156471252441,68.86892700195312,1008,single
pavement_I.004,1,127.93478393554688,-0.8680148124694824,27.95427894592285,1008,single
SmallWall_11,2,195.23825073242188,-0.06984949111938477,67.29815673828125,1008,single
road.014,2,63.54947280883789,-0.4735755920410156,21.817184448242188,1008,single
terrain_T.001,2,86.62108612060547,-0.8919130563735962,94.90895080566406,1008,single
Building_98,2,39.958709716796875,7.336197853088379,31.886770248413086,1008,single
Garage_98,2,50.71157455444336,1.0387792587280273,39.56829833984375,1008,single
Lamppost_v1 (8),1,27.155498504638672,4.332252502441406,8.721455574035645,1008,single
CollisionObject1,2,93.34578704833984,5.7869977951049805,102.44053649902344,1008,single
Garage_98,2,48.49757385253906,1.0387792587280273,43.9351806640625,1008,single
